model,dataset,enc in,history,horizon,project nodes,predict nonlinear,adj,mae mean,mae std,mse mean,mse std
NaiveEstimator,ILI,7,96,96,False,False,identity,1.6641864222944125,0.006143300047836629,5.572901434164903,0.024694845237090174
NaiveEstimator,ILI,7,96,96,False,True,identity,1.622507027198622,0.018433663199589157,5.339562031038125,0.09830269508552474
NaiveEstimator,ILI,7,96,96,True,False,identity,1.6191749195305707,0.014382399079594002,5.288208572024912,0.07576520777656798
NaiveEstimator,ILI,7,96,96,True,True,identity,1.6227202801524352,0.004773942115971549,5.292096221701955,0.027224012479501822
NaiveEstimator,ILI,7,96,96,False,False,linear,1.8092646450594887,0.0129950778703686,6.510967409482115,0.0556642742602657
NaiveEstimator,ILI,7,96,96,False,True,linear,1.6959242694287262,0.03624348578443725,5.762820924815076,0.17958609912051499
NaiveEstimator,ILI,7,96,96,True,False,linear,1.6210026665715866,0.006682863117213063,5.30623661485188,0.05927850639380685
NaiveEstimator,ILI,7,96,96,True,True,linear,1.6249225864659944,0.016723936342573548,5.297457529149745,0.13308184689809072
NaiveEstimator,ILI,7,96,96,False,False,global,1.7100361810291336,0.012646415012451145,5.819008705852839,0.07060525353750044
NaiveEstimator,ILI,7,96,96,False,True,global,1.6480315809713653,0.010923694015176006,5.432107018392271,0.07177551340131423
NaiveEstimator,ILI,7,96,96,True,False,global,1.633461614118957,0.02342050238524606,5.375549222875777,0.13789207294358063
NaiveEstimator,ILI,7,96,96,True,True,global,1.618445640602565,0.01284757837435846,5.291536793864371,0.07830733224748919
NaiveEstimator,ILI,7,96,96,False,False,directed,1.6883226206227975,0.016691551777516182,5.7052443565957915,0.05683520792579761
NaiveEstimator,ILI,7,96,96,False,True,directed,1.658902497626577,0.016585849927090616,5.458247359936808,0.09611642899345732
NaiveEstimator,ILI,7,96,96,True,False,directed,1.6241836325455772,0.011059853541442241,5.3159931985315545,0.051183344275706075
NaiveEstimator,ILI,7,96,96,True,True,directed,1.6242173072425636,0.006996477307250848,5.30030627145926,0.03892068910638019
NaiveEstimator,ILI,7,96,96,False,False,undirected,1.717566665087005,0.017938783348256517,5.743369756106493,0.13052567507764729
NaiveEstimator,ILI,7,96,96,False,True,undirected,1.675558758076463,0.013769174141357785,5.519178715583887,0.06730256874309382
NaiveEstimator,ILI,7,96,96,True,False,undirected,1.6079567972546944,0.00463477150872767,5.230773563672466,0.03258354024759811
NaiveEstimator,ILI,7,96,96,True,True,undirected,1.6185144213204765,0.007655048639970865,5.231236263140479,0.05925200348663129
NaiveEstimator,ILI,7,96,96,False,False,unidirected,1.7098834189623466,0.015911792264056687,5.71358040985683,0.07582087066194047
NaiveEstimator,ILI,7,96,96,False,True,unidirected,1.6634654477674438,0.017675949084839188,5.466583286343374,0.14143210674817655
NaiveEstimator,ILI,7,96,96,True,False,unidirected,1.6341050480314034,0.014350215424711774,5.392446833767198,0.08201203142182023
NaiveEstimator,ILI,7,96,96,True,True,unidirected,1.6252977209792345,0.004300051425795283,5.296158071229234,0.035053968088903265
NaiveEstimator,ILI,7,96,96,False,False,graph wavenet,1.6909924964952936,0.011048659818752766,5.680957952976849,0.10317805848452374
NaiveEstimator,ILI,7,96,96,False,True,graph wavenet,1.6370263233427458,0.015108773063568089,5.303452573959641,0.08054788005000339
NaiveEstimator,ILI,7,96,96,True,False,graph wavenet,1.6131780409410073,0.005128888675998164,5.2389781246936336,0.03492396412482141
NaiveEstimator,ILI,7,96,96,True,True,graph wavenet,1.6168075306129537,0.009285522392828923,5.268816280029155,0.03840037834378712
NaiveEstimator,ILI,7,96,96,False,False,dynamic attention,1.7086457679795495,0.021522659940414284,5.700749433413098,0.12379194614503766
NaiveEstimator,ILI,7,96,96,False,True,dynamic attention,1.6437186919951217,0.00997186135949457,5.316959713946673,0.053572636253379026
NaiveEstimator,ILI,7,96,96,True,False,dynamic attention,1.6172092922445587,0.00979225201215954,5.255227864878944,0.09831305835083262
NaiveEstimator,ILI,7,96,96,True,True,dynamic attention,1.6259788604122698,0.011514340553471772,5.260190806379442,0.10543415025181022
NaiveEstimator,ILI,7,96,96,False,False,multihead attention,1.6838955975994068,0.006253129487628478,5.534134459388808,0.01709781359212205
NaiveEstimator,ILI,7,96,96,False,True,multihead attention,1.6403774706253025,0.008785924379214972,5.316610606921332,0.05889724965800439
NaiveEstimator,ILI,7,96,96,True,False,multihead attention,1.6365473542726903,0.017823200132207003,5.426974106357074,0.1695915877350949
NaiveEstimator,ILI,7,96,96,True,True,multihead attention,1.6222559680863724,0.009558014992820421,5.249881941302127,0.05500053304161045
NaiveEstimator,exchange rate,8,96,96,False,False,identity,1.4801879881298112,0.004294698206925851,3.183410192444414,0.014473227093835715
NaiveEstimator,exchange rate,8,96,96,False,True,identity,1.4756590239957594,0.018518529887250744,3.157543402050641,0.06383654265837285
NaiveEstimator,exchange rate,8,96,96,True,False,identity,1.6159372181449894,0.01528602045581692,3.7383423961852578,0.06446894271019783
NaiveEstimator,exchange rate,8,96,96,True,True,identity,1.5779298072340242,0.07070797016215691,3.7016362802611993,0.23850113583768187
NaiveEstimator,exchange rate,8,96,96,False,False,linear,1.5944831487625648,0.008030999543174572,3.6330012772752758,0.026519505129520716
NaiveEstimator,exchange rate,8,96,96,False,True,linear,1.5131254918730814,0.07443767547645837,3.393161860915309,0.3001938208874583
NaiveEstimator,exchange rate,8,96,96,True,False,linear,1.6267492021667465,0.026633722221689995,3.823010736816859,0.09869188596270351
NaiveEstimator,exchange rate,8,96,96,True,True,linear,1.5638696549485818,0.06626985187609535,3.687184863794659,0.3074642279895565
NaiveEstimator,exchange rate,8,96,96,False,False,global,1.5252676381640384,0.01227030857207803,3.35283885525243,0.06980129333549973
NaiveEstimator,exchange rate,8,96,96,False,True,global,1.5423730826081747,0.021377248772974127,3.357670230259752,0.06862985600325743
NaiveEstimator,exchange rate,8,96,96,True,False,global,1.6041193960222184,0.013290399367762776,3.709637527209329,0.05137699342395796
NaiveEstimator,exchange rate,8,96,96,True,True,global,1.5766874536900257,0.0521058403945461,3.733113953510042,0.20242080933323356
NaiveEstimator,exchange rate,8,96,96,False,False,directed,1.5561625833622588,0.034105516932027326,3.464480724812476,0.13761728970898826
NaiveEstimator,exchange rate,8,96,96,False,True,directed,1.580530926762601,0.04681945091645766,3.559388860791006,0.2071461238052209
NaiveEstimator,exchange rate,8,96,96,True,False,directed,1.5698621548697171,0.032777188316184785,3.5867754090072808,0.10442202987333966
NaiveEstimator,exchange rate,8,96,96,True,True,directed,1.5603798480103968,0.06809825318520399,3.6032193249403632,0.2980035458293343
NaiveEstimator,exchange rate,8,96,96,False,False,undirected,1.514732087392352,0.005932701620528773,3.2822666657917514,0.030834018735972007
NaiveEstimator,exchange rate,8,96,96,False,True,undirected,1.5989500391822618,0.04404097681806183,3.5991075486740876,0.20051617311947204
NaiveEstimator,exchange rate,8,96,96,True,False,undirected,1.5829793743122924,0.032227121893744964,3.6159291721867852,0.11818254575965928
NaiveEstimator,exchange rate,8,96,96,True,True,undirected,1.574432391889943,0.02921442054261018,3.6743711978294855,0.13150839745861473
NaiveEstimator,exchange rate,8,96,96,False,False,unidirected,1.5223105794127132,0.010080948168947172,3.314813246755031,0.042227102403388485
NaiveEstimator,exchange rate,8,96,96,False,True,unidirected,1.5090797327087824,0.015233164339416095,3.2953891446268173,0.0716044888351654
NaiveEstimator,exchange rate,8,96,96,True,False,unidirected,1.5988064778270301,0.029078987205923553,3.7014299692503156,0.09294834499382178
NaiveEstimator,exchange rate,8,96,96,True,True,unidirected,1.5168227385379756,0.04226394749815538,3.457342345611753,0.18965038082018074
NaiveEstimator,exchange rate,8,96,96,False,False,graph wavenet,1.552535628301419,0.0060759182343913965,3.408672776456747,0.018070532143242612
NaiveEstimator,exchange rate,8,96,96,False,True,graph wavenet,1.5685225883340426,0.041426827895493394,3.4600062069205224,0.15985115012733817
NaiveEstimator,exchange rate,8,96,96,True,False,graph wavenet,1.606731195125343,0.010185671253378993,3.696805523880736,0.03900115179080764
NaiveEstimator,exchange rate,8,96,96,True,True,graph wavenet,1.5533054952339056,0.03879650069951464,3.61696150182888,0.08243240039536101
NaiveEstimator,exchange rate,8,96,96,False,False,dynamic attention,1.5406576568954038,0.005489800807753367,3.3603626933848645,0.015390220214659033
NaiveEstimator,exchange rate,8,96,96,False,True,dynamic attention,1.5585109441200469,0.023191523200248927,3.405070322625106,0.06305166070210637
NaiveEstimator,exchange rate,8,96,96,True,False,dynamic attention,1.5378547557170394,0.012579194089217113,3.373660113068395,0.046936505967274667
NaiveEstimator,exchange rate,8,96,96,True,True,dynamic attention,1.5651063340102351,0.02489064929989932,3.525708350248742,0.10414696958473264
NaiveEstimator,exchange rate,8,96,96,False,False,multihead attention,1.5299042454160636,0.003382419135879948,3.328208432365174,0.02330753838685943
NaiveEstimator,exchange rate,8,96,96,False,True,multihead attention,1.5463587522672875,0.016735885547113156,3.3637806891727395,0.058497596215014616
NaiveEstimator,exchange rate,8,96,96,True,False,multihead attention,1.6253583867682182,0.04861801830795624,3.7515947595130896,0.22765432197425445
NaiveEstimator,exchange rate,8,96,96,True,True,multihead attention,1.5685632091582578,0.04843168873769133,3.5905111114780857,0.17696203489565646
NaiveEstimator,ETTh1,7,96,96,False,False,identity,0.8712139950661613,0.0008355345673072492,1.3108321291303948,0.002517825210434922
NaiveEstimator,ETTh1,7,96,96,False,True,identity,0.9163319836492556,0.008317915113803361,1.4330735665521774,0.02381345184422564
NaiveEstimator,ETTh1,7,96,96,True,False,identity,0.9609324600715624,0.012021664193819405,1.4654670881275262,0.025821626744849554
NaiveEstimator,ETTh1,7,96,96,True,True,identity,0.9514533236712289,0.03354382593931942,1.4774600794623678,0.06944335817038728
NaiveEstimator,ETTh1,7,96,96,False,False,linear,0.8668686224999774,0.00231882607578102,1.2872621103930255,0.004610006231310172
NaiveEstimator,ETTh1,7,96,96,False,True,linear,0.928591218448901,0.017735839008428844,1.4357191846148976,0.05175274569285339
NaiveEstimator,ETTh1,7,96,96,True,False,linear,0.9796761106831886,0.019275004213768616,1.515814771516741,0.0410338356526446
NaiveEstimator,ETTh1,7,96,96,True,True,linear,0.9930747815545574,0.02048786230266576,1.5421181333356633,0.03757394830681354
NaiveEstimator,ETTh1,7,96,96,False,False,global,0.8533374339145677,0.003872014385618503,1.2637049894451362,0.005979723360742327
NaiveEstimator,ETTh1,7,96,96,False,True,global,0.9200044822989553,0.0357367378978962,1.438322487209278,0.10603643459617408
NaiveEstimator,ETTh1,7,96,96,True,False,global,0.962427356385613,0.01721637331160018,1.467741989232123,0.03756752952536175
NaiveEstimator,ETTh1,7,96,96,True,True,global,0.9408729078304947,0.012108255014494088,1.428576991818859,0.022114142895118025
NaiveEstimator,ETTh1,7,96,96,False,False,directed,0.8515004056689237,0.0031804599586184364,1.2576550372350552,0.013705901764655404
NaiveEstimator,ETTh1,7,96,96,False,True,directed,0.8999390591405312,0.03521324052155414,1.3498825806270311,0.0802844586792982
NaiveEstimator,ETTh1,7,96,96,True,False,directed,0.9580216058424836,0.010332784123962786,1.4609933029634612,0.02571793258182491
NaiveEstimator,ETTh1,7,96,96,True,True,directed,0.9776019401046241,0.04372273853879287,1.52735139713609,0.10762915612840393
NaiveEstimator,ETTh1,7,96,96,False,False,undirected,0.8621434954570202,0.0009391787570620821,1.2841830800537282,0.003368846389362966
NaiveEstimator,ETTh1,7,96,96,False,True,undirected,0.8774626430154899,0.018233397593198794,1.3214545355048095,0.06384745463567286
NaiveEstimator,ETTh1,7,96,96,True,False,undirected,0.9459707088544592,0.009250280241902591,1.4381343991120112,0.024462066281308145
NaiveEstimator,ETTh1,7,96,96,True,True,undirected,0.9628661501935178,0.03831785846464321,1.4846146700337495,0.07588233491786418
NaiveEstimator,ETTh1,7,96,96,False,False,unidirected,0.8434585366880949,0.004419010718798311,1.247821030291386,0.006011923404412174
NaiveEstimator,ETTh1,7,96,96,False,True,unidirected,0.8896842380359627,0.024372831099348072,1.3457356407245367,0.04475826610282576
NaiveEstimator,ETTh1,7,96,96,True,False,unidirected,0.9470204842453862,0.0161963602439208,1.4423151384622508,0.03210506251868516
NaiveEstimator,ETTh1,7,96,96,True,True,unidirected,0.9775503338932954,0.036788253457932775,1.527503680080407,0.08333244079869484
NaiveEstimator,ETTh1,7,96,96,False,False,graph wavenet,0.8494739420506352,0.006331247721998485,1.2545867631998011,0.014795155203325689
NaiveEstimator,ETTh1,7,96,96,False,True,graph wavenet,0.9081412995750995,0.033593115617914455,1.4164917620661766,0.0811116920443096
NaiveEstimator,ETTh1,7,96,96,True,False,graph wavenet,0.9646508951878985,0.00822721484569312,1.4738308376392453,0.018954345713816118
NaiveEstimator,ETTh1,7,96,96,True,True,graph wavenet,0.9416459784237052,0.026623446961126666,1.4532983534770938,0.049973814001159945
NaiveEstimator,ETTh1,7,96,96,False,False,dynamic attention,0.8431545557869591,0.005009933856989281,1.2386252681635825,0.013742485918424047
NaiveEstimator,ETTh1,7,96,96,False,True,dynamic attention,0.8907031165371218,0.008950354032803797,1.3519555506013592,0.014404849242265193
NaiveEstimator,ETTh1,7,96,96,True,False,dynamic attention,0.9018841869905498,0.03316365766194991,1.3690417054786743,0.08426350012624284
NaiveEstimator,ETTh1,7,96,96,True,True,dynamic attention,0.8969184822249506,0.019816776969170596,1.3827364963134152,0.060288609125351056
NaiveEstimator,ETTh1,7,96,96,False,False,multihead attention,0.8708894414621773,0.0007758649152484039,1.3069330915488617,0.0023648788807930443
NaiveEstimator,ETTh1,7,96,96,False,True,multihead attention,0.9348704653970639,0.005995357142671652,1.4620132994428687,0.017863006905518994
NaiveEstimator,ETTh1,7,96,96,True,False,multihead attention,0.9361624689391264,0.025084442383151318,1.4537893485656088,0.02748283909091025
NaiveEstimator,ETTh1,7,96,96,True,True,multihead attention,0.9268116510673456,0.021020080046618247,1.4258000565493751,0.05222840770400541
NaiveEstimator,ETTh2,7,96,96,False,False,identity,1.202545508028654,0.003174240903139928,2.4849449287144845,0.011246401604333139
NaiveEstimator,ETTh2,7,96,96,False,True,identity,1.2140104508668697,0.01686164075848159,2.4865483623727838,0.06239174475365428
NaiveEstimator,ETTh2,7,96,96,True,False,identity,1.2356118098788624,0.018065773308240538,2.5749822350040956,0.063118671536615
NaiveEstimator,ETTh2,7,96,96,True,True,identity,1.2321409701044732,0.014104978334806501,2.559274267782166,0.04300304649891056
NaiveEstimator,ETTh2,7,96,96,False,False,linear,1.2079101881174872,0.010658866045794885,2.499809433898656,0.02594396616807955
NaiveEstimator,ETTh2,7,96,96,False,True,linear,1.2073076765439625,0.017520411821943967,2.4902892338237343,0.055614727150600396
NaiveEstimator,ETTh2,7,96,96,True,False,linear,1.2455872557094665,0.020080553788519445,2.6100300801951564,0.06390239591533017
NaiveEstimator,ETTh2,7,96,96,True,True,linear,1.3547018322337498,0.13563280449564735,3.017933236651756,0.4816309548397989
NaiveEstimator,ETTh2,7,96,96,False,False,global,1.1938957339320477,0.0010083204303640717,2.4651227567508522,0.0041102642103400516
NaiveEstimator,ETTh2,7,96,96,False,True,global,1.1819690805531424,0.025677921582043507,2.3817072696773507,0.11026064390244321
NaiveEstimator,ETTh2,7,96,96,True,False,global,1.2383359733742907,0.01459587824354425,2.5943899292584547,0.040995567043617766
NaiveEstimator,ETTh2,7,96,96,True,True,global,1.281091336737745,0.050128830205180004,2.7159303581662497,0.17283534390110475
NaiveEstimator,ETTh2,7,96,96,False,False,directed,1.1992472359338506,0.004878332125157995,2.4763170879847944,0.011791952841706234
NaiveEstimator,ETTh2,7,96,96,False,True,directed,1.1852200015835697,0.020568627546806748,2.422680046420568,0.08569895185407286
NaiveEstimator,ETTh2,7,96,96,True,False,directed,1.232439799766595,0.012740501802204806,2.56605681202547,0.030293239193255838
NaiveEstimator,ETTh2,7,96,96,True,True,directed,1.243998811615326,0.06009545947034948,2.5735275804002744,0.21878326172528317
NaiveEstimator,ETTh2,7,96,96,False,False,undirected,1.2009947947544104,0.004845166876745926,2.481091965930689,0.01563827578570581
NaiveEstimator,ETTh2,7,96,96,False,True,undirected,1.222917571972867,0.06606570068442215,2.4974875998931587,0.22226746925936627
NaiveEstimator,ETTh2,7,96,96,True,False,undirected,1.2190916412196091,0.010354417223725786,2.5270869765514785,0.04361322408342218
NaiveEstimator,ETTh2,7,96,96,True,True,undirected,1.2578929653703836,0.051641652168488344,2.6374855039336422,0.18227895253583223
NaiveEstimator,ETTh2,7,96,96,False,False,unidirected,1.1899772685308432,0.004692071196770919,2.4538624863156024,0.018554793716596376
NaiveEstimator,ETTh2,7,96,96,False,True,unidirected,1.18296275130558,0.026152678504699912,2.4175262364709575,0.10539469066840444
NaiveEstimator,ETTh2,7,96,96,True,False,unidirected,1.2394274904550775,0.011576977698450508,2.5842799434555968,0.026290925495881464
NaiveEstimator,ETTh2,7,96,96,True,True,unidirected,1.286681948681994,0.09698491123154412,2.759931947160449,0.34835148190209375
NaiveEstimator,ETTh2,7,96,96,False,False,graph wavenet,1.19017786658828,0.004220200106255224,2.4483307228167273,0.014795168460387403
NaiveEstimator,ETTh2,7,96,96,False,True,graph wavenet,1.2135476348194658,0.061833450285535566,2.494277005656045,0.1916988811071539
NaiveEstimator,ETTh2,7,96,96,True,False,graph wavenet,1.2294264593682631,0.01019570635997731,2.559478016629278,0.03394360865249596
NaiveEstimator,ETTh2,7,96,96,True,True,graph wavenet,1.2345309544535783,0.024675497184678704,2.5689393285077413,0.06935273454096672
NaiveEstimator,ETTh2,7,96,96,False,False,dynamic attention,1.193231352965498,0.010648201636547568,2.4616464419283437,0.03629276739072429
NaiveEstimator,ETTh2,7,96,96,False,True,dynamic attention,1.1769391609378281,0.013071005407241291,2.409334035837115,0.04478016525105717
NaiveEstimator,ETTh2,7,96,96,True,False,dynamic attention,1.2020880089651749,0.012719993969865402,2.489621807614271,0.03552472603306742
NaiveEstimator,ETTh2,7,96,96,True,True,dynamic attention,1.1883077447216193,0.008242767992071654,2.4450114270587635,0.026825253279556076
NaiveEstimator,ETTh2,7,96,96,False,False,multihead attention,1.20188920721193,0.0025641035694465883,2.483759480171508,0.00923542841269089
NaiveEstimator,ETTh2,7,96,96,False,True,multihead attention,1.2175238903346277,0.04086193507650218,2.5021130114651187,0.13696498153299078
NaiveEstimator,ETTh2,7,96,96,True,False,multihead attention,1.2048507482160287,0.006035163221355312,2.49118079699904,0.01410539070169527
NaiveEstimator,ETTh2,7,96,96,True,True,multihead attention,1.2198314590992887,0.014295147049587422,2.522955958408221,0.034451002816746824